Week,Day,Time,Day_Time,Terminal,Wagon_Type,Inventory
1,2,3750,14:30,MFT,RQJW,-4
1,2,3780,15:00,MFT,RQJW,-4
1,2,3810,15:30,MFT,RQJW,-4
1,2,3840,16:00,MFT,RQJW,-4
1,2,3870,16:30,MFT,RQJW,-4
1,2,3900,17:00,MFT,RQJW,-4
1,2,3930,17:30,MFT,RQJW,-4
1,2,3960,18:00,MFT,RQJW,-4
1,2,3990,18:30,MFT,RQJW,-4
1,2,4020,19:00,MFT,RQJW,-4
1,2,4050,19:30,MFT,RQJW,-4
1,2,4080,20:00,MFT,RQJW,-8
1,2,4110,20:30,MFT,RQJW,-8
1,2,4140,21:00,MFT,RQJW,-8
1,2,4170,21:30,MFT,RQJW,-8
1,2,4200,22:00,MFT,RQJW,-8
1,2,4230,22:30,MFT,RQJW,-8
1,2,4260,23:00,MFT,RQJW,-8
1,2,4290,23:30,MFT,RQJW,-8
1,3,4320,00:00,MFT,RQJW,-8
1,3,4350,00:30,MFT,RQJW,-8
1,3,4380,01:00,MFT,RQJW,-8
1,3,4410,01:30,MFT,RQJW,-8
1,3,4440,02:00,MFT,RQJW,-8
1,3,4470,02:30,MFT,RQJW,-8
1,3,4500,03:00,MFT,RQJW,-8
1,3,4530,03:30,MFT,RQJW,-8
1,3,4560,04:00,MFT,RQJW,-8
1,3,4590,04:30,MFT,RQJW,-8
1,3,4620,05:00,MFT,RQJW,-8
1,3,4650,05:30,MFT,RQJW,-8
1,3,4680,06:00,MFT,RQJW,-8
1,3,4710,06:30,MFT,RQJW,-8
1,3,4740,07:00,MFT,RQJW,-8
1,3,4770,07:30,MFT,RQJW,-8
1,3,4800,08:00,MFT,RQJW,-8
1,3,4830,08:30,MFT,RQJW,-8
1,3,4860,09:00,MFT,RQJW,-8
1,3,4890,09:30,MFT,RQJW,-8
1,3,4920,10:00,MFT,RQJW,-8
1,3,4950,10:30,MFT,RQJW,-8
1,3,4980,11:00,MFT,RQJW,-8
1,3,5010,11:30,MFT,RQJW,-8
1,3,5040,12:00,MFT,RQJW,-8
1,3,5070,12:30,MFT,RQJW,-8
1,3,5100,13:00,MFT,RQJW,-8
1,3,5130,13:30,MFT,RQJW,-4
1,3,5160,14:00,MFT,RQJW,-4
1,3,5190,14:30,MFT,RQJW,-4
1,3,5220,15:00,MFT,RQJW,-4
1,3,5250,15:30,MFT,RQJW,-4
1,3,5280,16:00,MFT,RQJW,-4
1,3,5310,16:30,MFT,RQJW,-4
1,3,5340,17:00,MFT,RQJW,-4
1,3,5370,17:30,MFT,RQJW,-4
1,3,5400,18:00,MFT,RQJW,-4
1,3,5430,18:30,MFT,RQJW,-4
1,3,5460,19:00,MFT,RQJW,-4
1,3,5490,19:30,MFT,RQJW,-4
1,3,5520,20:00,MFT,RQJW,-8
1,3,5550,20:30,MFT,RQJW,-8
1,3,5580,21:00,MFT,RQJW,-8
1,3,5610,21:30,MFT,RQJW,-8
1,3,5640,22:00,MFT,RQJW,-8
1,3,5670,22:30,MFT,RQJW,-8
1,3,5700,23:00,MFT,RQJW,-8
1,3,5730,23:30,MFT,RQJW,-8
1,4,5760,00:00,MFT,RQJW,-8
1,4,5790,00:30,MFT,RQJW,-8
1,4,5820,01:00,MFT,RQJW,-8
1,4,5850,01:30,MFT,RQJW,-8
1,4,5880,02:00,MFT,RQJW,-8
1,4,5910,02:30,MFT,RQJW,-8
1,4,5940,03:00,MFT,RQJW,-8
1,4,5970,03:30,MFT,RQJW,-8
1,4,6000,04:00,MFT,RQJW,-8
1,4,6030,04:30,MFT,RQJW,-8
1,4,6060,05:00,MFT,RQJW,-8
1,4,6090,05:30,MFT,RQJW,-8
1,4,6120,06:00,MFT,RQJW,-8
1,4,6150,06:30,MFT,RQJW,-8
1,4,6180,07:00,MFT,RQJW,-8
1,4,6210,07:30,MFT,RQJW,-8
1,4,6240,08:00,MFT,RQJW,-8
1,4,6270,08:30,MFT,RQJW,-8
1,4,6300,09:00,MFT,RQJW,-8
1,4,6330,09:30,MFT,RQJW,-8
1,4,6360,10:00,MFT,RQJW,-8
1,4,6390,10:30,MFT,RQJW,-8
1,4,6420,11:00,MFT,RQJW,-8
1,4,6450,11:30,MFT,RQJW,-8
1,4,6480,12:00,MFT,RQJW,-8
1,4,6510,12:30,MFT,RQJW,-8
1,4,6540,13:00,MFT,RQJW,-8
1,4,6570,13:30,MFT,RQJW,-8
1,4,6600,14:00,MFT,RQJW,-8
1,4,6630,14:30,MFT,RQJW,-8
1,4,6660,15:00,MFT,RQJW,-8
1,4,6690,15:30,MFT,RQJW,-8
1,4,6720,16:00,MFT,RQJW,-8
1,4,6750,16:30,MFT,RQJW,-8
1,4,6780,17:00,MFT,RQJW,-8
1,4,6810,17:30,MFT,RQJW,-8
1,4,6840,18:00,MFT,RQJW,-8
1,4,6870,18:30,MFT,RQJW,-8
1,4,6900,19:00,MFT,RQJW,-8
1,4,6930,19:30,MFT,RQJW,-8
1,4,6960,20:00,MFT,RQJW,-8
1,4,6990,20:30,MFT,RQJW,-8
1,4,7020,21:00,MFT,RQJW,-8
1,4,7050,21:30,MFT,RQJW,-8
1,4,7080,22:00,MFT,RQJW,-8
1,4,7110,22:30,MFT,RQJW,-8
1,4,7140,23:00,MFT,RQJW,-8
1,4,7170,23:30,MFT,RQJW,-8
1,5,7200,00:00,MFT,RQJW,-8
1,5,7230,00:30,MFT,RQJW,-8
1,5,7260,01:00,MFT,RQJW,-8
1,5,7290,01:30,MFT,RQJW,-8
1,5,7320,02:00,MFT,RQJW,-8
1,5,7350,02:30,MFT,RQJW,-8
1,5,7380,03:00,MFT,RQJW,-8
1,5,7410,03:30,MFT,RQJW,-8
1,5,7440,04:00,MFT,RQJW,-8
1,5,7470,04:30,MFT,RQJW,-8
1,5,7500,05:00,MFT,RQJW,-8
1,5,7530,05:30,MFT,RQJW,-8
1,5,7560,06:00,MFT,RQJW,-8
1,5,7590,06:30,MFT,RQJW,-8
1,5,7620,07:00,MFT,RQJW,-8
1,5,7650,07:30,MFT,RQJW,-8
1,5,7680,08:00,MFT,RQJW,-8
1,5,7710,08:30,MFT,RQJW,-8
1,5,7740,09:00,MFT,RQJW,-8
1,5,7770,09:30,MFT,RQJW,-8
1,5,7800,10:00,MFT,RQJW,-8
1,5,7830,10:30,MFT,RQJW,-8
1,5,7860,11:00,MFT,RQJW,-8
1,5,7890,11:30,MFT,RQJW,-8
1,5,7920,12:00,MFT,RQJW,-8
1,5,7950,12:30,MFT,RQJW,-8
1,5,7980,13:00,MFT,RQJW,-8
1,5,8010,13:30,MFT,RQJW,-4
1,5,8040,14:00,MFT,RQJW,-4
1,5,8070,14:30,MFT,RQJW,-4
1,5,8100,15:00,MFT,RQJW,-4
1,5,8130,15:30,MFT,RQJW,-4
1,5,8160,16:00,MFT,RQJW,-4
1,5,8190,16:30,MFT,RQJW,-4
1,5,8220,17:00,MFT,RQJW,-4
1,5,8250,17:30,MFT,RQJW,-4
1,5,8280,18:00,MFT,RQJW,-4
1,5,8310,18:30,MFT,RQJW,-4
1,5,8340,19:00,MFT,RQJW,-4
1,5,8370,19:30,MFT,RQJW,-4
